Stock Price,Strike Price,Time to Maturity (Years),Call Price,Put Price,Implied Volatility
100,90.0,0.01,10.01,0.0,0.22
100,90.2,0.02,9.82,0.0,0.19
100,90.4,0.03,9.63,0.01,0.23
100,90.61,0.04,9.51,0.08,0.28
100,90.81,0.05,9.25,0.01,0.19
100,91.01,0.06,9.08,0.03,0.19
100,91.21,0.07,9.2,0.35,0.28
100,91.41,0.08,8.93,0.27,0.24
100,91.62,0.09,8.57,0.1,0.18
100,91.82,0.1,8.66,0.38,0.23
100,92.02,0.11,8.27,0.19,0.18
100,92.22,0.12,8.13,0.24,0.18
100,92.42,0.13,8.25,0.56,0.21
100,92.63,0.14,7.54,0.03,0.1
100,92.83,0.15,7.38,0.07,0.11
100,93.03,0.16,7.6,0.48,0.17
100,93.23,0.17,7.28,0.36,0.15
100,93.43,0.18,7.87,1.14,0.22
100,93.64,0.19,7.08,0.54,0.15
100,93.84,0.2,6.71,0.36,0.13
100,94.04,0.21,8.53,2.37,0.27
100,94.24,0.22,7.2,1.24,0.19
100,94.44,0.23,7.34,1.57,0.2
100,94.65,0.24,6.18,0.6,0.13
100,94.85,0.25,6.71,1.32,0.17
100,95.05,0.26,7.18,1.99,0.21
100,95.25,0.27,6.05,1.04,0.14
100,95.45,0.28,7.31,2.5,0.22
100,95.66,0.29,6.34,1.72,0.17
100,95.86,0.3,6.56,2.13,0.19
100,96.06,0.31,6.19,1.95,0.17
100,96.26,0.32,8.68,4.64,0.29
100,96.46,0.33,6.66,2.81,0.2
100,96.67,0.34,5.5,1.84,0.15
100,96.87,0.35,7.49,4.02,0.24
100,97.07,0.36,5.17,1.89,0.14
100,97.27,0.37,6.72,3.63,0.21
100,97.47,0.38,4.18,1.29,0.1
100,97.68,0.39,4.81,2.11,0.13
100,97.88,0.4,6.58,4.06,0.21
100,98.08,0.41,7.21,4.89,0.24
100,98.28,0.42,6.46,4.33,0.21
100,98.48,0.43,6.06,4.12,0.19
100,98.69,0.44,5.77,4.03,0.18
100,98.89,0.45,4.18,2.63,0.13
100,99.09,0.46,5.12,3.76,0.16
100,99.29,0.47,5.42,4.25,0.18
100,99.49,0.48,7.45,6.47,0.25
100,99.7,0.49,6.44,5.65,0.22
100,99.9,0.5,3.45,2.85,0.11
100,100.1,0.51,6.35,5.94,0.22
100,100.3,0.52,5.3,5.08,0.18
100,100.51,0.53,4.84,4.81,0.17
100,100.71,0.54,6.68,6.84,0.23
100,100.91,0.55,7.27,7.62,0.25
100,101.11,0.56,7.1,7.65,0.25
100,101.31,0.57,4.42,5.15,0.16
100,101.52,0.58,5.18,6.1,0.18
100,101.72,0.59,6.12,7.24,0.22
100,101.92,0.6,7.09,8.4,0.25
100,102.12,0.61,4.8,6.3,0.18
100,102.32,0.62,5.23,6.92,0.19
100,102.53,0.63,3.74,5.62,0.14
100,102.73,0.64,3.56,5.63,0.14
100,102.93,0.65,6.74,9.0,0.24
100,103.13,0.66,7.6,10.05,0.27
100,103.33,0.67,5.25,7.9,0.2
100,103.54,0.68,6.99,9.82,0.25
100,103.74,0.69,5.91,8.94,0.22
100,103.94,0.7,4.22,7.44,0.17
100,104.14,0.71,5.87,9.27,0.22
100,104.34,0.72,7.83,11.42,0.28
100,104.55,0.73,5.15,8.93,0.2
100,104.75,0.74,7.86,11.83,0.28
100,104.95,0.75,1.83,5.99,0.1
100,105.15,0.76,6.55,10.9,0.24
100,105.35,0.77,5.26,9.8,0.2
100,105.56,0.78,4.56,9.3,0.19
100,105.76,0.79,5.22,10.14,0.2
100,105.96,0.8,1.67,6.79,0.1
100,106.16,0.81,4.62,9.93,0.19
100,106.36,0.82,5.62,11.11,0.22
100,106.57,0.83,7.62,13.3,0.27
100,106.77,0.84,4.02,9.9,0.17
100,106.97,0.85,3.49,9.55,0.16
100,107.17,0.86,4.0,10.25,0.17
100,107.37,0.87,6.54,12.99,0.25
100,107.58,0.88,5.45,12.08,0.22
100,107.78,0.89,3.87,10.7,0.17
100,107.98,0.9,5.75,12.77,0.23
100,108.18,0.91,4.97,12.17,0.2
100,108.38,0.92,6.57,13.96,0.25
100,108.59,0.93,3.47,11.05,0.16
100,108.79,0.94,4.12,11.89,0.18
100,108.99,0.95,3.98,11.94,0.18
100,109.19,0.96,2.07,10.22,0.13
100,109.39,0.97,5.23,13.56,0.21
100,109.6,0.98,5.14,13.67,0.21
100,109.8,0.99,4.64,13.35,0.2
100,110.0,1.0,4.17,13.07,0.19
